Company,Company Score,Job Title,Date,Salary,Skills,Estimation Type,Remote,City,Country
Causeway Technologies,3.9,Lead Data and AI Scientist,44.0,56000.0,"SQL, Data science, Communication skills, Python",Glasdoor est.,Onsite,Middlesbrough,England
The Rank Group,3.9,Senior Data Scientist,36.0,94500.0,"Microsoft Excel, R, Communication skills, Python",Employer est.,Onsite,London,England
Propel Together,3.8,Senior Data Scientist – NLP & MLOps,31.0,40500.0,"French, Go, NoSQL, MongoDB, SQL",Glasdoor est.,Onsite,London,England
Monzo,4.1,"Senior Data Scientist, CRM",37.0,48000.0,"SQL, Driving, Python",Glasdoor est.,Onsite,London,England
FM Conway,3.8,Health and Safety Data Analyst,44.0,74500.0,"TensorFlow, Spark, SQL, Maths, Machine learning",Glasdoor est.,Onsite,Sevenoaks,England
Sidetrade,4.5,Data Scientist,34.0,83000.0,"TensorFlow, Azure, Internet of things, Git, English",Glasdoor est.,Onsite,Birmingham,England
Coinbase,3.6,Data Scientist,34.0,60000.0,"Statistical analysis, Machine learning, JavaScript, Natural language processing, Data visualisation",Glasdoor est.,Onsite,London,England
Hiscox,3.1,Claims Data Scientist,39.0,52500.0,"Azure, Data mining, Data analysis skills, OOP, AWS",Glasdoor est.,Onsite,London,England
BlockDox,4.0,Machine Learning Engineer,8.0,125000.0,"Java, C, Scala, Python",Employer est.,Remote,,
Complexio,4.0,Senior Data Scientist,38.0,60500.0,"Data modelling, Business intelligence, C#, SQL, C++",Glasdoor est.,Remote,,
Citeline,3.7,Data Scientist - Healthcare & Life Sciences,43.0,52000.0,"Haskell, Kubernetes, Git, English, Java",Employer est.,Onsite,London,England
Databricks,4.1,Partner Solutions Architect (Data and AI),44.0,37000.0,"Statistics, Microsoft Excel, Big data, Spark, R",Glasdoor est.,Onsite,London,England
Meta,4.3,"Data Engineer, Product Analytics",39.0,67000.0,"Data science, Teaching",Glasdoor est.,Onsite,London,England
Chatterbox Labs,4.2,Software Tester (AI Risk). Hours Negotiable,4.0,29500.0,"English, Biochemistry, Deep learning, Communication skills, Python",Glasdoor est.,Onsite,Kingston upon Thames,England
DataSpartan Consulting,4.0,SENIOR DATA SCIENTIST,32.0,50000.0,"French, Ukrainian, Data analysis skills, English, Fortran",Glasdoor est.,Onsite,London,England
University of Sheffield,3.5,Project Engineer - Data Science,17.0,59000.0,"Machine learning, Mentoring, Natural language processing, IT, Data science",Glasdoor est.,Onsite,Sheffield,England
Loughborough University,3.8,Research Associate in Spatial Data Science,7.0,61000.0,"MATLAB, R, Maths, Machine learning, Data science",Glasdoor est.,Onsite,Loughborough,England
InstaDeep,3.8,"Applied Research Scientist, Deep Learning for RNA Structure Prediction",37.0,77000.0,"SQL, AWS, Docker, Machine learning, Data science",Glasdoor est.,Onsite,London,England
ECMWF,4.3,Scientist on EarthCARE Radar/Lidar Data Assimilation,32.0,40000.0,"Azure, Java, Natural language processing, Root cause analysis, Python",Employer est.,Onsite,Reading,England
HMGCC,4.2,Lead Data Scientist,14.0,83000.0,"Data analysis skills, SQL, Machine learning, Data science, Communication skills",Glasdoor est.,Onsite,Milton Keynes,England
Centre for Process Innovation,3.7,Research Engineer – Digital Technologies (Data Scientist),14.0,69500.0,"Cloud infrastructure, Azure, Kubernetes, Spark, Git",Glasdoor est.,Onsite,Sedgefield,England
MVF,3.5,Senior Data Scientist,30.0,67000.0,"D3.js, Google Cloud Platform, SQL, Statistical analysis, AWS",Employer est.,Onsite,London,England
Synechron,4.4,AI/ML Engineer,12.0,43500.0,"TensorFlow, Google Cloud Platform, AWS, Machine learning, Scala",Glasdoor est.,Onsite,London,England
Charlotte Tilbury,3.9,Data Scientist - 12 Month Maternity Cover,44.0,55000.0,"Statistics, Go, Bootstrap, Google Cloud Platform, SQL",Employer est.,Onsite,London,England
Optimizely,4.3,Senior Data Scientist,36.0,43500.0,"SAS, Data structures, R, Communication skills, Python",Glasdoor est.,Onsite,London,England
Vodafone,4.3,Lead Data Scientist - 12 Month FTC,3.0,57500.0,"Sales, Supply chain, Machine learning, Data science, Communication skills",Glasdoor est.,Onsite,London,England
Spotify,4.1,Machine Learning Engineer II,5.0,42000.0,"TensorFlow, Azure, Spark, Google Cloud Platform, SQL",Glasdoor est.,Onsite,London,England
Monzo,4.1,Senior Decision Scientist,42.0,62000.0,"Data structures, SQL, Statistical analysis, Machine learning, Mentoring",Employer est.,Onsite,London,England
Johnson & Johnson,3.8,Associate Statistical Programmer,10.0,113000.0,"R, Computer skills, Data science, Communication skills",Glasdoor est.,Onsite,High Wycombe,England
causaLens,4.2,Senior Applied Data Scientist - Causal AI,34.0,61000.0,"TensorFlow, Multilingual, Machine learning, Deep learning, Natural language processing",Glasdoor est.,Onsite,London,England
Gamingtec,3.2,Lead Data Scientist,13.0,83000.0,"Project management, AI, Communication skills",Glasdoor est.,Onsite,London,England
Lloyds Banking Group,3.3,Lead Data Scientist,20.0,39500.0,"Power BI, Azure, Kubernetes, Big data, Git",Glasdoor est.,Onsite,Bristol,England
"Medpace, Inc.",3.6,Senior Data Scientist,36.0,58000.0,"NoSQL, Machine learning, Natural language processing, Communication skills, Python",Glasdoor est.,Onsite,London,England
Tencent,2.9,NLP Speech Research Intern,38.0,63000.0,"R, SQL, Statistical analysis, Maths, Deep learning",Glasdoor est.,Onsite,London,England
Bell Integration,3.3,Technical Trainer – AI & Data,21.0,44500.0,"Data analysis skills, AWS, Machine learning, Data science, Python",Glasdoor est.,Onsite,London,England
Scottish Power,5.0,Artificial Intelligence / Machine Learning Specialist,39.0,90000.0,"TensorFlow, MATLAB, Azure, SAS, R",Employer est.,Onsite,Glasgow,Scotland
Apple,3.4,"AI/ML - Data Engineer (NLP/Speech), Siri and Information Intelligence",19.0,65000.0,"TensorFlow, Git, C++, C, Machine learning",Employer est.,Onsite,Cambridge,England
Google,3.7,"Data Scientist, Generative AI, Google Cloud",5.0,67000.0,"Go, Microservices, SQL, Machine learning, Deep learning",Glasdoor est.,Onsite,London,England
"Surfline\Wavetrak, Inc.",4.0,Machine Learning Operations Associate,12.0,90000.0,"Kubernetes, Software deployment, Data analysis skills, Google Cloud Platform, OOP",Glasdoor est.,Onsite,Plymouth,England
IBM,3.9,Data Scientist,4.0,87500.0,"Supervising experience, Machine learning, Data science",Glasdoor est.,Onsite,London,England
Samsung Electronics,4.0,Intern – Machine Learning (Speech) - Immediate Start,44.0,138000.0,"SAS, R, SQL, C++, JavaScript",Glasdoor est.,Onsite,,
Monzo,4.0,Lead Machine Learning Scientist,36.0,58500.0,"Laboratory experience, Machine learning, Biochemistry, Deep learning, Software development",Glasdoor est.,Onsite,London,England
Sprout.ai,4.2,Data Scientist,32.0,47000.0,"Power BI, R, Tableau, SQL, Analysis skills",Glasdoor est.,Onsite,London,England
University of Liverpool,3.7,Lecturer in Health Data Science,24.0,63500.0,"Power BI, Supply chain, Google Cloud Platform, SQL, Analysis skills",Glasdoor est.,Onsite,Liverpool,England
HEOR,3.7,Senior Data Scientist / Statistician,39.0,140000.0,"TensorFlow, Cloud architecture, Cassandra, Relational databases, DevOps",Employer est.,Onsite,Cardiff,Wales
InstaDeep,3.7,Applied Research Scientist,36.0,111000.0,"Business analysis, SQL, Maths, Machine learning, Distributed systems",Glasdoor est.,Onsite,London,England
Toolstation,3.4,Customer Insight Analyst,32.0,64000.0,"Project management, Machine learning",Employer est.,Onsite,Bridgwater,England
Geomiq,4.6,Data Analyst - Supply Chain,44.0,43500.0,"Statistics, Business processes, Machine learning, APIs, Regression analysis",Glasdoor est.,Onsite,London,England
Blis,5.0,Senior Data Science Engineer,40.0,45500.0,"TensorFlow, Machine learning, Software development, Communication skills, Python",Glasdoor est.,Onsite,Edinburgh,Scotland
Featurespace,3.8,Senior Data Scientist,43.0,67500.0,Machine learning,Employer est.,Onsite,Cambridge,England
Google,2.9,"Program Manager, Machine Learning Data Operations",6.0,50000.0,"TensorFlow, Power BI, Data modelling, Big data, Supply chain",Glasdoor est.,Onsite,London,England
Starling Bank,4.0,Data Scientist (Marketing),30.0,150000.0,"Power BI, Azure, R, Google Cloud Platform, Tableau",Employer est.,Onsite,London,England
Artemis Recruits,3.7,Python Engineer for Machine Learning,39.0,60000.0,"Machine learning, Mentoring, Natural language processing, IT, Data science",Employer est.,Onsite,London,England
University of Oxford,3.3,Researcher in Healthcare AI and Machine Learning,10.0,102000.0,"Machine learning, Natural language processing, AI",Employer est.,Onsite,Oxford,England
o9 Solutions,3.8,Principal Data Scientist,6.0,73000.0,"Power BI, Azure, Data mining, Supply chain, Spark",Glasdoor est.,Onsite,London,England
Capgemini Invent,3.6,Consultant - Analytics & Artificial Intelligence - Data Science,5.0,48000.0,"Data analysis skills, Analysis skills, Market research, Machine learning, Organisational skills",Glasdoor est.,Onsite,London,England
HMGCC (His Majesty’s Government Communications Centre),3.9,Lead Data Scientist,14.0,32500.0,"Azure, Software deployment, SQL, AWS, Machine learning",Employer est.,Onsite,Hanslope,England
PGSM Consulting,3.7,AI Scientist - Natural Language Processing,42.0,71500.0,"Relational databases, Git, Google Cloud Platform, SQL, AWS",Glasdoor est.,Onsite,Reading,England
Halfords,3.0,Group Supply Chain Data Scientist,30.0,44000.0,"Power BI, R, Data analysis skills, SQL, Machine learning",Glasdoor est.,Onsite,Redditch,England
TikTok,4.0,"AI Data Service and Operations, Business Insights Analyst - T&S",2.0,107500.0,"English, Machine learning, Mentoring, Communication skills, Teaching",Glasdoor est.,Onsite,London,England
Sainsbury's,3.7,Senior Data Scientist,7.0,40500.0,"TensorFlow, Management, Supervising experience, Machine learning, Deep learning",Employer est.,Onsite,London,England
Assembly,4.3,"Partner, Data Science",35.0,67000.0,"Underwriting, SAS, SQL, Python",Glasdoor est.,Onsite,London,England
Razorbill Media,4.5,Senior Machine Learning Engineer,40.0,64500.0,"Management, English, SQL, Presentation skills, Machine learning",Glasdoor est.,Remote,,
DataCamp,4.3,"Online Course Instructor - Machine Learning / Data Engineering (Part-Time, Freelance)",32.0,102000.0,"Power BI, Spark, R, Tableau, Java",Employer est.,Onsite,London,England
Isomorphic Labs,3.9,"Research Scientist, Machine Learning, London",36.0,58500.0,"Project management, Data visualisation, Communication skills, Marketing",Glasdoor est.,Onsite,London,England
Direct Line Group,3.8,Rescue Pricing Data Scientist,20.0,83500.0,"Elasticsearch, Azure, Google Cloud Platform, Application development, AWS",Glasdoor est.,Onsite,London,England
ICF,3.2,Senior Data Scientist,30.0,52500.0,"Data mining, Sales, R, PaaS, Machine learning",Employer est.,Onsite,London,England
Cox Automotive,1.7,Senior Data Scientist,34.0,64500.0,"Azure, Data mining, R, Google Cloud Platform, MongoDB",Glasdoor est.,Onsite,Manchester,England
Deloitte,3.2,"Senior Consultant, Consultant, AI & Data, ConvergeCONSUMER Role, SAMA",44.0,58000.0,"TensorFlow, Machine learning, Deep learning, Computer networking, AI",Glasdoor est.,Onsite,London,England
VML,4.0,Lead AI & Data Scientist,24.0,47500.0,"Cloud infrastructure, Git, English, Analysis skills, Docker",Glasdoor est.,Onsite,London,England
Crosslake Technologies,3.4,Lead AI & Data Scientist,21.0,67500.0,"TensorFlow, Data mining, Data structures, Java, C++",Glasdoor est.,Onsite,Manchester,England
AXA UK,4.1,Data Science & AI Manager,30.0,40000.0,"Data mining, Data structures, Java, AWS, C++",Employer est.,Onsite,Glasgow,Scotland
Reqiva ltd,3.2,Machine Learning Consultant,21.0,66500.0,"OOP, Machine learning, Communication skills, Python",Glasdoor est.,Onsite,Cambridge,England
InstaDeep,3.6,"Applied Research Scientist, Molecular Simulation",32.0,78000.0,"Business development, Data science",Glasdoor est.,Onsite,London,England
Amazon Development Centre (Scotland) Limited,3.6,"Applied Scientist , ADSP: Campaign & Creative",12.0,79000.0,"Analysis skills, Machine learning, Google Search Console, Communication skills, Python",Glasdoor est.,Onsite,London,England
Amazon Development Centre (London) Limited,2.9,"Applied Scientist, Personalization",19.0,55500.0,"Kubernetes, Spark, AWS, Docker, Machine learning",Glasdoor est.,Onsite,Edinburgh,Scotland
G-Research,3.8,Machine Learning Engineer,39.0,46000.0,"Analysis skills, Project management, Data management, Product management, Scrum",Glasdoor est.,Onsite,London,England
DataArt,4.0,Principal Consultant of Data & Analytics Strategy and Technology,30.0,73500.0,"Analysis skills, Project management, Project management methodology, AI, Leadership",Glasdoor est.,Onsite,London,England
Webtures,3.5,AI Analyst,12.0,140000.0,"TensorFlow, Deep learning, Natural language processing, AI, Debugging",Employer est.,Onsite,London,England
Roke Manor Research Limited,3.5,Data Science Engineer,37.0,33500.0,"Data mining, R, Machine learning, GitHub, Agile",Glasdoor est.,Onsite,Manchester,England
Frasers Group,3.8,Data Product Owner,34.0,69000.0,"Power BI, Social media management, Data analysis skills, Tableau, Financial analysis",Employer est.,Onsite,London,England
Adaptive8,4.1,Data & AI Platform Lead,11.0,63000.0,"Power BI, Data mining, R, Alteryx, Tableau",Glasdoor est.,Onsite,London,England
Meta,3.6,"Research Scientist, NLP, GenAI (PhD)",33.0,41500.0,"Presentation skills, Data management, Product management, APIs, Data science",Glasdoor est.,Onsite,London,England
NHS Midlands and Lancashire Commissioning Support Unit,3.7,Lead Data Scientist,20.0,69500.0,"Elasticsearch, Cloud infrastructure, Azure, NoSQL, Google Cloud Platform",Glasdoor est.,Onsite,Birmingham,England
TikTok,4.3,"AI Data Service And Operations- Business Analyst, Trust and Safety",2.0,78500.0,"SQL, AWS, Presentation skills, Machine learning, AI",Glasdoor est.,Onsite,London,England
Pwc UK,3.7,Digital Audit - Data Analytics - Senior Associate,38.0,39000.0,"C#, Microsoft SQL Server, Java, SQL, C++",Glasdoor est.,Onsite,London,England
IQUW,4.2,Head of Data & Analytics,33.0,60000.0,"Statistics, Spark, Data analysis skills, Machine learning, Natural language processing",Employer est.,Onsite,London,England
DAINTTA,3.8,Lead Data Scientist,13.0,106000.0,"TensorFlow, Azure, Kubernetes, English, Google Cloud Platform",Glasdoor est.,Onsite,Cheltenham,England
SDG Group,4.2,Senior Data Scientist / AI Engineer / ML Engineer,43.0,90000.0,"R, Microsoft Office, SQL, Statistical analysis, Machine learning",Glasdoor est.,Onsite,Milton Keynes,England
Eka Finance,3.7,"Quantitative Data Scientist / London / New York / £150,000 + Benefits",12.0,75000.0,"R, SQL, Statistical analysis, Machine learning, Natural language processing",Glasdoor est.,Onsite,London,England
Ripjar,4.3,Data Scientist - Core Analytics,30.0,62000.0,"Ukrainian, English, Communication skills",Glasdoor est.,Onsite,London,England
SKM Group,3.3,Senior Machine Learning Engineer,38.0,59500.0,"Data mining, D3.js, Software deployment, R, SQL",Glasdoor est.,Remote,,
Vitality,3.9,Head of VitalityLife Data Science,38.0,58500.0,"SAS, R",Glasdoor est.,Onsite,London,England
Google,3.7,"Staff Data Scientist Manager, Generative AI, Google Cloud",3.0,45000.0,"SAS, Software deployment, Spark, R, SQL",Employer est.,Onsite,London,England
ECMWF,3.9,Scientist/Senior Scientist – Atmospheric physical processes in data assimilation,44.0,41500.0,"TensorFlow, Git, Machine learning, Agile, AI",Employer est.,Onsite,Reading,England
Vertex Pharmaceuticals,4.1,Sr. Data Scientist - NLP/GenAI,42.0,79500.0,"Azure, Data mining, D3.js, AWS, Presentation skills",Glasdoor est.,Onsite,Paddington,England
IQVIA,4.0,Principal Biostatistician,16.0,44000.0,"Data structures, C++, C, Machine learning, Natural language processing",Employer est.,Remote,,
Aviva,3.9,Data Scientist,31.0,76500.0,"R, Statistical analysis, Data science, Python",Glasdoor est.,Onsite,Norwich,England
Carwow,3.8,Senior Data Scientist,13.0,47500.0,"TensorFlow, R, Git, Tableau, SQL",Glasdoor est.,Onsite,London,England
DX Compliance Solutions,3.6,Senior Data Scientist,32.0,52500.0,"TensorFlow, Git, Google Cloud Platform, SQL, AWS",Employer est.,Onsite,Glasgow,Scotland
Binance,5.0,Senior Data Scientist-Large Language Models,39.0,57000.0,"Financial services, Data science, AI, Communication skills",Glasdoor est.,Onsite,London,England
University of the West of England,3.3,Lecturer in Data Analytics,16.0,33500.0,"Azure, Kubernetes, NoSQL, English, Google Cloud Platform",Employer est.,Onsite,Frenchay,England
BrainStation,3.7,"Associate Educator, Data Scientist",37.0,55000.0,"SAS, R, Tableau, SQL, Product management",Employer est.,Onsite,London,England
Starling Bank,4.2,Data Scientist (Fincrime),41.0,64500.0,"Power BI, Azure, R, NoSQL, Google Cloud Platform",Glasdoor est.,Onsite,Manchester,England
Mesh-AI,4.2,Director of AI and Data Science,43.0,67000.0,"Machine learning, Natural language processing, Data science, Python",Glasdoor est.,Onsite,London,England
SKM Group,2.3,Senior GenAI / Generative AI Engineer,37.0,90000.0,"Big data, R, SQL, Python",Glasdoor est.,Remote,,
Roku,3.8,Senior Data Scientist - Mobile,18.0,131000.0,"TensorFlow, Software deployment, Spark, Machine learning, Natural language processing",Glasdoor est.,Onsite,Manchester,England
BizClik Media,4.0,Data and AI Engineer,38.0,90000.0,"TensorFlow, Maths, Machine learning, Regression analysis, Predictive analytics",Glasdoor est.,Onsite,London,England
Datasource,4.0,DV Cleared Data Scientist,41.0,45000.0,"Power BI, R, Tableau, SQL, Presentation skills",Glasdoor est.,Onsite,Manchester,England
Expedia Partner Solutions,3.8,Analytics Engineer III - Data Science,32.0,72500.0,"Data mining, Spark, R, Data analysis skills, NoSQL",Glasdoor est.,Onsite,London,England
JPMorgan Chase & Co,3.7,Applied AI Associate - Markets Operations,31.0,63500.0,"MATLAB, R, Java, C++, Perl",Glasdoor est.,Onsite,,
Chubb,3.5,Senior Data Scientist,31.0,85000.0,"Presentation skills, Data management, Product management, APIs, Data science",Employer est.,Onsite,London,England
Dambuster Studios,4.0,LEAD DATA SCIENTIST,33.0,54500.0,"TensorFlow, Azure, DevOps, Spark, Google Cloud Platform",Glasdoor est.,Onsite,Nottingham,England
COLLAB. Recruitment Ltd,3.4,Senior Data Scientist,35.0,79000.0,"Adobe Flash, Machine learning, Technical writing",Glasdoor est.,Onsite,London,England
University of Cambridge,3.6,Research Associate - Bioinformatics/Data Science (Vassiliou Lab) (Fixed Term),6.0,56000.0,"TensorFlow, SQL, Machine learning, Data science, Communication skills",Glasdoor est.,Onsite,Cambridge,England
IQUW Group,3.9,Head of Data & Analytics,35.0,55000.0,"Qualitative analysis, Taxonomy, Data management, Metadata, Quantitative analysis",Employer est.,Onsite,London,England
CAPCO,4.1,Senior Data Scientist,42.0,70000.0,"Power BI, R, Alteryx, Microsoft SQL Server, SQL",Glasdoor est.,Onsite,London,England
Speechmatics,4.4,Staff Machine Learning Scientist,44.0,63000.0,"Azure, Spark, NoSQL, Google Cloud Platform, Java",Glasdoor est.,Onsite,London,England
Castleton Commodities International,4.2,"Associate, Data Science Analyst – Global Oil Markets (Hybrid - 3/2 Work Schedule)",44.0,75000.0,"Azure, Relational databases, Big data, NoSQL, Google Cloud Platform",Employer est.,Onsite,London,England
Capgemini Invent,3.4,Senior Consultant - Data & AI Strategy - Data Management,5.0,50000.0,"Signal processing, English, Software development, Agile, Communication skills",Employer est.,Onsite,London,England
Pwc UK,4.0,Digital Audit Manager - Data Analytics,40.0,60000.0,"TensorFlow, Git, Docker, Machine learning, Communication skills",Glasdoor est.,Onsite,Manchester,England
Capgemini Invent,3.3,Consultant - Analytics & Artificial Intelligence - Data & AI Architect,5.0,42000.0,"Data modelling, IT, Data science",Glasdoor est.,Onsite,London,England
SymphonyAI,4.3,Senior Big Data Developer,19.0,54000.0,"TensorFlow, Machine learning, Deep learning, Software development, APIs",Glasdoor est.,Onsite,London,England
Octopus Energy Group,3.7,Electrical Power Systems Engineer (Data Science),13.0,77000.0,"TensorFlow, Statistics, Azure, Google Cloud Platform, AWS",Glasdoor est.,Onsite,Manchester,England
Bumble Inc.,3.6,"Software Engineer, Machine Learning",42.0,52500.0,"Azure, SQL, Machine learning, Data science, Communication skills",Glasdoor est.,Onsite,London,England
BAE Systems,5.0,Data Science Architect,34.0,110000.0,"Performance tuning, Analysis skills, Maths, Machine learning, Distributed systems",Glasdoor est.,Onsite,Preston,England
InstaDeep,3.6,"Research Scientist, Machine Learning and Computational Biology",41.0,44500.0,"Product development, Machine learning, Natural language processing, Agile",Employer est.,Onsite,London,England
Deloitte,4.2,"Consultant - Senior Consultant, Data Science and Machine Learning, AI & Data, Defence & Security",25.0,94000.0,"Data modelling, Azure, Big data, Spark, Google Cloud Platform",Glasdoor est.,Onsite,Bristol,England
PEI Group,4.9,Principal Data Scientist,40.0,85000.0,"TensorFlow, MATLAB, Microsoft Excel, Visual Studio, Spark",Employer est.,Onsite,London,England
JPMorgan Chase & Co,3.8,Machine Learning Scientist - Time Series Reinforcement Learning - Vice President - Machine Learning Center of Excellence,30.0,51500.0,"Mandarin, Rust, C++, Distributed systems, Python",Glasdoor est.,Onsite,,
Linktree,4.2,"ML Engineer, Data & Machine Learning",38.0,65500.0,"TensorFlow, Git, Docker, Machine learning, Communication skills",Glasdoor est.,Onsite,London,England
ITV Jobs,3.9,Head of Data and Machine Learning Engineering,10.0,88000.0,"Data mining, Data structures, Java, C++, Machine learning",Glasdoor est.,Onsite,London,England
QA Limited,4.0,Senior learning Specialist - Data Science,42.0,41000.0,"Statistics, Project management, Product management, AI, Communication skills",Employer est.,Onsite,Cheltenham,England
Transform Talent Limited,3.0,Data science - mandarin speaking,41.0,55500.0,"Power BI, Azure, Data mining, R, SQL",Glasdoor est.,Onsite,London,England
Bumble Inc.,4.2,Machine Learning Engineer - AI Discovery,30.0,65000.0,"CRM software, Power BI, Social media management, R, Tableau",Glasdoor est.,Onsite,London,England
Amazon Development Centre (London) Limited,3.5,"Applied Scientist, Contextual Ads",26.0,38500.0,"Azure, R, Google Cloud Platform, AWS, APIs",Employer est.,Onsite,London,England
Faculty,3.5,Faculty Fellowship - AI Product (October 2024),5.0,69500.0,"Data modelling, R, Data analysis skills, Tableau, SQL",Glasdoor est.,Onsite,London,England
Arch Capital Group Ltd.,3.5,Data Science Manager,33.0,37500.0,"Power BI, Microsoft Excel, Procurement, Supply chain, Data analysis skills",Glasdoor est.,Onsite,Birmingham,England
REO Digital,4.0,Data & Analytics Lead,32.0,104500.0,"SQL, Team management, Driving, IT, Data science",Glasdoor est.,Onsite,London,England
Optima Partners,3.4,Senior/Lead Health Data Scientist (Statistical Genetics...,36.0,69500.0,"Machine learning, Teaching",Glasdoor est.,Onsite,London,England
Learna Ltd,4.1,Data Analytics Manager,19.0,138000.0,"TensorFlow, SQL, Machine learning, Data science, Communication skills",Glasdoor est.,Onsite,Cardiff,Wales
National Grid,3.5,Associate Analytics & Reporting Specialist,7.0,90000.0,"Power BI, R, Tableau, SQL, Presentation skills",Glasdoor est.,Onsite,Warwickshire,England
marshmallow,4.0,Principal Data Scientist - Claims,34.0,73000.0,"Power BI, Microsoft Excel, Business intelligence, Procurement, Alteryx",Glasdoor est.,Onsite,London,England
University of Central Lancashire,3.8,Lecturer in Computer Science (AI/Machine Learning/Data Science),5.0,70000.0,"TensorFlow, Data mining, Big data, Spark, R",Glasdoor est.,Onsite,Preston,England
Castleton Commodities International,4.1,"Associate, Data Science Analyst - EU Energy Markets (Hybrid - 3/2 Work Schedule)",38.0,43000.0,"Data analysis skills, Laboratory information management systems, English, Project management, Data management",Glasdoor est.,Onsite,London,England
Deep Silver Dambuster Studios,4.9,Lead Data Scientist,36.0,69500.0,"SAS, R",Glasdoor est.,Onsite,Nottingham,England
National Grid,4.1,Analytics & Reporting Specialist,7.0,46000.0,"Big data, Statistical analysis, Machine learning, Systems engineering, Python",Employer est.,Onsite,Warwickshire,England
Galytix,3.4,Sr. Data Scientist,33.0,65500.0,"TensorFlow, MATLAB, Machine learning, Natural language processing, Python",Glasdoor est.,Onsite,London,England
Lonza,4.1,Head of Data Insights,35.0,76000.0,"Azure, Big data, Spark, R, SQL",Glasdoor est.,Onsite,Manchester,England
IQVIA,4.3,Principal Biostatistician (FSP - Permanent Homebased),43.0,60000.0,"TensorFlow, Spark, R, Git, Google Cloud Platform",Glasdoor est.,Remote,,
University of Cambridge,3.9,Research Associate in CASU Data Science,20.0,62500.0,"Data mining, Software deployment, Change management, Machine learning, Data science",Glasdoor est.,Onsite,Cambridge,England
MBDA,3.8,Machine Learning Algorithm Developer,43.0,42500.0,"Product development, Data science, Communication skills",Glasdoor est.,Onsite,Stevenage,England
The AA,4.2,Data Science Manager,6.0,55500.0,"TensorFlow, Data mining, Data structures, Machine learning, Deep learning",Glasdoor est.,Onsite,London,England
BrainStation,4.1,"Educator, Data Scientist",39.0,75000.0,"TensorFlow, Elasticsearch, Data mining, Data structures, Spark",Employer est.,Onsite,London,England
Cervello Inc,4.2,"Global COE Lead, AI and Data Science",41.0,51500.0,"TensorFlow, Analysis skills, Machine learning, Deep learning, Natural language processing",Glasdoor est.,Onsite,London,England
Bumble Inc.,4.2,"Data Science Manager, Product Analytics/ Core DS",11.0,58000.0,"TensorFlow, Analysis skills, Machine learning, Google Search Console, AI",Glasdoor est.,Onsite,London,England
Google,4.2,"Research Engineer, AI/Machine Learning",25.0,75000.0,"Data analysis skills, Tableau, SQL, Warehouse experience, IT",Employer est.,Onsite,London,England
Amazon Development Centre (Scotland) Limited,3.4,"Applied Scientist, Amazon Ads",38.0,31500.0,"Azure, C#, Java, C++, C",Glasdoor est.,Onsite,London,England
Luminance Technologies,3.7,Machine Learning Research Engineer,43.0,143000.0,"TensorFlow, R, Machine learning, Team management, Mentoring",Glasdoor est.,Onsite,Cambridge,England
Webtures,4.4,Machine Learning Specialist,12.0,52500.0,"Sales, Supply chain, Machine learning, Data science, Communication skills",Glasdoor est.,Onsite,London,England
Lime,3.9,Transportation Policy & Analytics Internship,10.0,116500.0,"Azure, Internet of things, Kanban, SQL, AWS",Glasdoor est.,Remote,,
Microsoft,3.8,Principal Applied Scientist - Search & Recommendation,39.0,67000.0,"Power BI, Microsoft Excel, Sales, English, SQL",Glasdoor est.,Onsite,London,England
FXcompared,3.4,Data Analytics Manager,41.0,55500.0,"Azure, Kubernetes, DevOps, NoSQL, Git",Glasdoor est.,Onsite,London,England
causaLens,5.0,Applied Data Scientist - Causal AI,34.0,26000.0,"Software deployment, AWS, Machine learning, Neo4j, Data visualisation",Glasdoor est.,Onsite,London,England
Capgemini Invent,4.1,Management Consultant -Digital Engineering Industrial Data & AI/Digital Twins,18.0,57000.0,"Statistical analysis, Machine learning, Data science, Data visualisation, Leadership",Employer est.,Onsite,London,England
Edgewell Personal Care Brands,4.4,Data & Analytics Manager,5.0,65500.0,"Machine learning, APIs, Communication skills, Python",Glasdoor est.,Onsite,High Wycombe,England
Zonda Home,3.9,Machine Learning Engineer II,14.0,72500.0,"Jira, Software deployment, R, SQL, Analysis skills",Glasdoor est.,Onsite,Glasgow,Scotland
Globebyte,3.0,Machine Learning Engineer,41.0,43000.0,"AWS, Machine learning, Python",Glasdoor est.,Remote,,
Zapp,3.8,Director of Data Science,33.0,80000.0,"Statistics, R, Data analysis skills, SQL, Analysis skills",Glasdoor est.,Onsite,London,England
Lendable,3.8,Senior Data Science Manager (US Products),20.0,38000.0,"TensorFlow, Data modelling, Azure, DevOps, Data structures",Employer est.,Onsite,London,England
B&Q,4.0,Data Science Manager,39.0,105500.0,"TensorFlow, Software deployment, Machine learning, APIs, Cloud computing",Glasdoor est.,Onsite,Eastleigh,England
Connex One,4.1,Machine Learning Engineer,40.0,45000.0,"TensorFlow, Git, Google Cloud Platform, SQL, AWS",Glasdoor est.,Onsite,Manchester,England
Chubb,3.7,Lead Operations Research Data Scientist,12.0,61000.0,"TensorFlow, Software deployment, DevOps, System design, Test-driven development",Glasdoor est.,Onsite,London,England
BJSS,3.8,Machine Learning Engineer,37.0,56000.0,"Management, Machine learning, Distributed systems, Quantitative analysis, Leadership",Glasdoor est.,Onsite,Cardiff,Wales
